Name,Number,Position,Age,Height,Weight,Salary
Glenn Robinson III,40.0,SG,22.0,6-7,222.0,1100000.0
Rodney Stuckey,2.0,PG,30.0,6-5,205.0,7000000.0
Myles Turner,33.0,PF,20.0,6-11,243.0,2357760.0
Shayne Whittington,42.0,PF,25.0,6-11,250.0,845059.0
Joe Young,1.0,PG,23.0,6-2,180.0,1007026.0
Giannis Antetokounmpo,34.0,SF,21.0,6-11,222.0,1953960.0
Jerryd Bayless,19.0,PG,27.0,6-3,200.0,3000000.0
Michael Carter-Williams,5.0,PG,24.0,6-6,190.0,2399040.0
Jared Cunningham,9.0,SG,25.0,6-4,195.0,947276.0
Tyler Ennis,11.0,PG,21.0,6-3,194.0,1662360.0
John Henson,31.0,PF,25.0,6-11,229.0,2943221.0
Damien Inglis,17.0,SF,21.0,6-8,246.0,855000.0
O.J. Mayo,3.0,SG,28.0,6-5,210.0,8000000.0
Khris Middleton,22.0,SG,24.0,6-8,234.0,14700000.0
Greg Monroe,15.0,C,26.0,6-11,265.0,16407500.0
Steve Novak,6.0,SF,32.0,6-10,225.0,295327.0
Johnny O'Bryant III,77.0,PF,23.0,6-9,257.0,845059.0
Jabari Parker,12.0,PF,21.0,6-8,250.0,5152440.0
Miles Plumlee,18.0,C,27.0,6-11,249.0,2109294.0
Greivis Vasquez,21.0,PG,29.0,6-6,217.0,6600000.0
Rashad Vaughn,20.0,SG,19.0,6-6,202.0,1733040.0
Justin Anderson,1.0,SG,22.0,6-6,228.0,1449000.0
J.J. Barea,5.0,PG,31.0,6-0,185.0,4290000.0
Jeremy Evans,21.0,SF,28.0,6-9,200.0,1100602.0
Raymond Felton,2.0,PG,31.0,6-1,205.0,3950313.0
Devin Harris,34.0,PG,33.0,6-3,185.0,4053446.0
David Lee,42.0,PF,33.0,6-9,245.0,2085671.0
Wesley Matthews,23.0,SG,29.0,6-5,220.0,16407500.0
JaVale McGee,11.0,C,28.0,7-0,270.0,1270964.0
Salah Mejri,50.0,C,29.0,7-2,245.0,525093.0
Dirk Nowitzki,41.0,PF,37.0,7-0,245.0,8333334.0
Zaza Pachulia,27.0,C,32.0,6-11,275.0,5200000.0
Chandler Parsons,25.0,SF,27.0,6-10,230.0,15361500.0
Dwight Powell,7.0,PF,24.0,6-11,240.0,845059.0
Charlie Villanueva,3.0,PF,31.0,6-11,232.0,947276.0
Deron Williams,8.0,PG,31.0,6-3,200.0,5378974.0
Trevor Ariza,1.0,SF,30.0,6-8,215.0,8193030.0
Michael Beasley,8.0,SF,27.0,6-10,235.0,306527.0
Patrick Beverley,2.0,PG,27.0,6-1,185.0,6486486.0
Corey Brewer,33.0,SG,30.0,6-9,186.0,8229375.0
Clint Capela,15.0,PF,22.0,6-10,240.0,1242720.0
Sam Dekker,7.0,SF,22.0,6-9,230.0,1646400.0
Andrew Goudelock,0.0,PG,27.0,6-3,200.0,200600.0
James Harden,13.0,SG,26.0,6-5,220.0,15756438.0
Montrezl Harrell,35.0,PF,22.0,6-8,240.0,1000000.0
Dwight Howard,12.0,C,30.0,6-11,265.0,22359364.0
Terrence Jones,6.0,PF,24.0,6-9,252.0,2489530.0
K.J. McDaniels,32.0,SG,23.0,6-6,205.0,3189794.0
Donatas Motiejunas,20.0,PF,25.0,7-0,222.0,2288205.0
Josh Smith,5.0,C,30.0,6-9,225.0,947276.0
Jason Terry,31.0,SG,38.0,6-2,185.0,947276.0
Jordan Adams,3.0,SG,21.0,6-5,209.0,1404600.0
Tony Allen,9.0,SG,34.0,6-4,213.0,5158539.0
Chris Andersen,7.0,PF,37.0,6-10,245.0,5000000.0
Matt Barnes,22.0,SF,36.0,6-7,226.0,3542500.0
Vince Carter,15.0,SG,39.0,6-6,220.0,4088019.0
Mike Conley,11.0,PG,28.0,6-1,175.0,9588426.0
Bryce Cotton,8.0,PG,23.0,6-1,165.0,700902.0
Jordan Farmar,4.0,PG,29.0,6-2,180.0,2839073.0
Marc Gasol,33.0,C,31.0,7-1,255.0,19688000.0
JaMychal Green,0.0,PF,25.0,6-9,227.0,845059.0
P.J. Hairston,19.0,SF,23.0,6-6,230.0,1201440.0
Jarell Martin,10.0,PF,22.0,6-10,239.0,1230840.0
Ray McCallum,5.0,PG,24.0,6-3,190.0,2839073.0
Xavier Munford,14.0,PG,24.0,6-3,180.0,2839073.0
Zach Randolph,50.0,PF,34.0,6-9,260.0,9638555.0
Lance Stephenson,1.0,SF,25.0,6-5,230.0,9000000.0
Alex Stepheson,35.0,PF,28.0,6-10,270.0,2839073.0
Brandan Wright,34.0,PF,28.0,6-10,210.0,5464000.0
Alexis Ajinca,42.0,C,28.0,7-2,248.0,4389607.0
Ryan Anderson,33.0,PF,28.0,6-10,240.0,8500000.0
Omer Asik,3.0,C,29.0,7-0,255.0,9213483.0
Luke Babbitt,8.0,SF,26.0,6-9,225.0,1100602.0
Norris Cole,30.0,PG,27.0,6-2,175.0,3036927.0
Dante Cunningham,44.0,PF,29.0,6-8,230.0,2850000.0
Anthony Davis,23.0,PF,23.0,6-10,253.0,7070730.0
Bryce Dejean-Jones,31.0,SG,23.0,6-6,203.0,169883.0
Toney Douglas,16.0,PG,30.0,6-2,195.0,1164858.0
James Ennis,4.0,SF,25.0,6-7,210.0,845059.0
Tyreke Evans,1.0,SG,26.0,6-6,220.0,10734586.0
Tim Frazier,2.0,PG,25.0,6-1,170.0,845059.0
Alonzo Gee,15.0,SF,29.0,6-6,225.0,1320000.0
Eric Gordon,10.0,SG,27.0,6-4,215.0,15514031.0
Jordan Hamilton,25.0,SG,25.0,6-7,220.0,1015421.0
Jrue Holiday,11.0,PG,25.0,6-4,205.0,10595507.0
Orlando Johnson,0.0,SG,27.0,6-5,220.0,55722.0
Kendrick Perkins,5.0,C,31.0,6-10,270.0,947276.0
Quincy Pondexter,20.0,SF,28.0,6-7,220.0,3382023.0
LaMarcus Aldridge,12.0,PF,30.0,6-11,240.0,19689000.0
Kyle Anderson,1.0,SF,22.0,6-9,230.0,1142880.0
Matt Bonner,15.0,C,36.0,6-10,235.0,947276.0
Boris Diaw,33.0,C,34.0,6-8,250.0,7500000.0
Tim Duncan,21.0,C,40.0,6-11,250.0,5250000.0
Manu Ginobili,20.0,SG,38.0,6-6,205.0,2814000.0
Danny Green,14.0,SG,28.0,6-6,215.0,10000000.0
Kawhi Leonard,2.0,SF,24.0,6-7,230.0,16407500.0
Boban Marjanovic,40.0,C,27.0,7-3,290.0,1200000.0
Kevin Martin,23.0,SG,33.0,6-7,199.0,200600.0
Andre Miller,24.0,PG,40.0,6-3,200.0,250750.0
Patty Mills,8.0,PG,27.0,6-0,185.0,3578947.0
Tony Parker,9.0,PG,34.0,6-2,185.0,13437500.0
Jonathon Simmons,17.0,SG,26.0,6-6,195.0,525093.0
David West,30.0,PF,35.0,6-9,250.0,1499187.0
Kent Bazemore,24.0,SF,26.0,6-5,201.0,2000000.0
Tim Hardaway Jr.,10.0,SG,24.0,6-6,205.0,1304520.0
Kirk Hinrich,12.0,SG,35.0,6-4,190.0,2854940.0
Al Horford,15.0,C,30.0,6-10,245.0,12000000.0
Kris Humphries,43.0,PF,31.0,6-9,235.0,1000000.0
Kyle Korver,26.0,SG,35.0,6-7,212.0,5746479.0
Paul Millsap,4.0,PF,31.0,6-8,246.0,18671659.0
Mike Muscala,31.0,PF,24.0,6-11,240.0,947276.0
Lamar Patterson,13.0,SG,24.0,6-5,225.0,525093.0
Dennis Schroder,17.0,PG,22.0,6-1,172.0,1763400.0
Mike Scott,32.0,PF,27.0,6-8,237.0,3333333.0
Thabo Sefolosha,25.0,SF,32.0,6-7,220.0,4000000.0
Tiago Splitter,11.0,C,31.0,6-11,245.0,9756250.0
Walter Tavares,22.0,C,24.0,7-3,260.0,1000000.0
Jeff Teague,0.0,PG,27.0,6-2,186.0,8000000.0
Nicolas Batum,5.0,SG,27.0,6-8,200.0,13125306.0
Troy Daniels,30.0,SG,24.0,6-4,205.0,947276.0
Jorge Gutierrez,12.0,PG,27.0,6-3,189.0,189455.0
Tyler Hansbrough,50.0,PF,30.0,6-9,250.0,947276.0
Aaron Harrison,9.0,SG,21.0,6-6,210.0,525093.0
Spencer Hawes,0.0,PF,28.0,7-1,245.0,6110034.0
Al Jefferson,25.0,C,31.0,6-10,289.0,13500000.0
Frank Kaminsky III,44.0,C,23.0,7-0,240.0,2612520.0
